"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","20/51","130/6747",0.153846153846154,20.3529411764706,19.4441346275335,5.21974204356993e-22,1.83212945729304e-19,1.83212945729304e-19,"91543/4940/5610/6772/7098/7706/4938/4939/6773/103/6352/5371/23586/64135/4599/8743/4600/834/10379/3665",20
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","18/51","142/6747",0.126760563380282,16.7696768848384,16.5741433245935,3.39980135024707e-18,5.96665136968361e-16,5.96665136968361e-16,"6672/6891/684/4940/5610/6772/7098/4938/4939/6773/6352/5371/6890/23586/64135/3134/10379/3665",18
"Human Diseases","Infectious disease: viral","hsa05162","Measles","13/51","104/6747",0.125,16.5367647058824,13.934637203827,3.78069425002893e-13,3.67800147492061e-11,3.67800147492061e-11,"4940/5610/6772/4938/4939/6773/103/23586/64135/4599/4600/10379/3665",13
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","14/51","132/6747",0.106060606060606,14.0311942959002,13.1949210345803,4.1914546722742e-13,3.67800147492061e-11,3.67800147492061e-11,"91543/4940/5610/6772/7098/4938/4939/6773/23586/3434/4599/4600/10379/3665",14
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","15/51","189/6747",0.0793650793650794,10.499533146592,11.5597380372601,3.88304022543716e-12,2.72589423825689e-10,2.72589423825689e-10,"4940/5610/6772/7098/4938/4939/9636/6773/103/23586/64135/4599/4600/834/10379",15
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","13/51","162/6747",0.0802469135802469,10.6161946259985,10.8114363591631,1.17663996222386e-10,6.88334377900957e-09,6.88334377900957e-09,"6891/4940/5610/6772/4938/4939/9636/6773/6890/23586/3134/10379/3665",13
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","12/51","140/6747",0.0857142857142857,11.3394957983193,10.7885172294701,3.15252831023761e-10,1.58076776699057e-08,1.58076776699057e-08,"4940/6772/3428/4938/4939/6773/6352/2633/115361/834/10379/3665",12
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","7/51","56/6747",0.125,16.5367647058824,10.1884852540481,1.61041155446318e-07,7.06568069520721e-06,7.06568069520721e-06,"7706/9636/57169/103/23586/64135/3665",7
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","7/51","60/6747",0.116666666666667,15.4343137254902,9.80068967067923,2.62091645253344e-07,1.02215741648804e-05,1.02215741648804e-05,"3428/103/6352/23586/25939/834/3665",7
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","6/51","79/6747",0.0759493670886076,10.0476545048399,7.05914808072691,2.51860188203384e-05,0.000884029260593878,0.000884029260593878,"6772/7098/6773/6352/10379/3665",6
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","10/51","285/6747",0.0350877192982456,4.64189886480908,5.48235770632778,4.23573734348712e-05,0.00126946913055217,0.00126946913055217,"5610/6772/7098/8638/9636/6773/4599/3134/4600/10379",10
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","7/51","128/6747",0.0546875,7.23483455882353,6.2149016765906,4.34006540359716e-05,0.00126946913055217,0.00126946913055217,"5610/6772/7098/6773/8743/834/10379",7
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/51","159/6747",0.0440251572327044,5.82426933037366,5.37222070828062,0.000171269512872054,0.00462427684754546,0.00462427684754546,"5610/6772/7098/6773/3134/10379/3665",7
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","6/51","143/6747",0.041958041958042,5.55080213903743,4.80012971936811,0.000670215552688117,0.0168032613566807,0.0168032613566807,"6772/7098/6773/23586/64135/3665",6
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","4/51","59/6747",0.0677966101694915,8.9690927218345,5.36521694481549,0.000970311602687796,0.0227052915028944,0.0227052915028944,"684/25939/4599/4600",4
