"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009887","animal organ morphogenesis","41/348","449/13064",0.0913140311804009,3.42794972224356,8.66074113614657,4.27374934104468e-12,2.20269041037443e-08,2.20269041037443e-08,"THY1/SLIT2/NRG1/KIF26B/TGFB2/CITED1/HAS2/CDX2/COL18A1/ANKRD1/HS3ST3B1/TENM3/CTNNA2/MFAP2/COL11A1/ALPK2/FOXD1/HAND2/COL5A1/FAT3/HOXC11/PTCH1/FLRT2/SDK1/HOXA9/PRICKLE1/CAV1/SNAI2/HOXD11/TWIST1/GREM1/WNT11/OLFM1/HS3ST3A1/COL13A1/SALL1/ALDH1A3/TPM1/FBN1/FHL1/EFEMP1",41
"GO:0001501","skeletal system development","28/348","252/13064",0.111111111111111,4.17113665389527,8.40896584837029,1.50052815105848e-10,3.8668610452777e-07,3.8668610452777e-07,"TGFB2/COL18A1/TLL1/COL11A1/RUNX3/HAND2/COL5A1/RUNX2/HAPLN4/HOXC11/HMGA2/NOTUM/SULF2/HOXA9/SNAI2/HOXD11/TWIST1/GREM1/WNT11/COL13A1/XYLT1/WNT5B/MMP16/FBN1/CDH11/EN1/MDK/EFEMP1",28
"GO:0072001","renal system development","22/348","186/13064",0.118279569892473,4.44024224446916,7.8173059945922,4.62171967403245e-09,7.94011439998775e-06,7.94011439998775e-06,"SLIT2/KIF26B/TGFB2/CITED1/RET/HAS2/HS3ST3B1/FOXD1/PDGFB/ITGB3/PTCH1/SULF2/PRICKLE1/HOXD11/GREM1/WNT11/HS3ST3A1/SALL1/COL4A1/FBN1/GFRA1/HPGD",22
"GO:0030198","extracellular matrix organization","22/348","197/13064",0.111675126903553,4.19230993640236,7.46853358119799,1.3502256972404e-08,1.16841572817236e-05,1.16841572817236e-05,"TGFB2/MMP17/PXDN/HAS2/COL18A1/TLL1/COL11A1/COL5A1/ADAMTS16/ADAMTS6/COLGALT2/FLRT2/SULF2/ADAMTS9/ADAMTS14/PRICKLE1/GREM1/COL13A1/COL4A1/MMP16/FBN1/HMCN1",22
"GO:0043062","extracellular structure organization","22/348","197/13064",0.111675126903553,4.19230993640236,7.46853358119799,1.3502256972404e-08,1.16841572817236e-05,1.16841572817236e-05,"TGFB2/MMP17/PXDN/HAS2/COL18A1/TLL1/COL11A1/COL5A1/ADAMTS16/ADAMTS6/COLGALT2/FLRT2/SULF2/ADAMTS9/ADAMTS14/PRICKLE1/GREM1/COL13A1/COL4A1/MMP16/FBN1/HMCN1",22
"GO:0007507","heart development","29/348","327/13064",0.0886850152905199,3.32925586136595,7.05656464954949,1.36020457295967e-08,1.16841572817236e-05,1.16841572817236e-05,"EFNB2/HDAC9/SLIT2/NRG1/TGFB2/HAS2/ANKRD1/ALPK2/HAND2/PDGFB/PDLIM3/FLRT2/JPH2/ADAMTS9/PRICKLE1/SNAI2/TWIST1/APLN/GREM1/FHOD3/WNT11/OLFM1/SALL1/TPM1/FBN1/FGF12/POU6F1/ANK2/CDH11",29
"GO:0045229","external encapsulating structure organization","22/348","199/13064",0.110552763819095,4.15017616819731,7.40785222640232,1.6268815015369e-08,1.19784960841732e-05,1.19784960841732e-05,"TGFB2/MMP17/PXDN/HAS2/COL18A1/TLL1/COL11A1/COL5A1/ADAMTS16/ADAMTS6/COLGALT2/FLRT2/SULF2/ADAMTS9/ADAMTS14/PRICKLE1/GREM1/COL13A1/COL4A1/MMP16/FBN1/HMCN1",22
"GO:0001822","kidney development","20/348","181/13064",0.110497237569061,4.14809170000635,7.05527561450769,7.46019169006677e-08,4.80622849632552e-05,4.80622849632552e-05,"SLIT2/KIF26B/TGFB2/CITED1/RET/HAS2/HS3ST3B1/FOXD1/PDGFB/ITGB3/PTCH1/SULF2/HOXD11/GREM1/WNT11/HS3ST3A1/SALL1/FBN1/GFRA1/HPGD",20
"GO:0048729","tissue morphogenesis","26/348","299/13064",0.0869565217391304,3.26436781609195,6.55251439809078,1.16587591810864e-07,6.67658275770215e-05,6.67658275770215e-05,"SLIT2/NRG1/KIF26B/TGFB2/CITED1/RET/ANKRD1/HS3ST3B1/FOXD1/COL5A1/ITGB3/HMGA2/PTCH1/PRICKLE1/SNAI2/HOXD11/GREM1/WNT11/HS3ST3A1/SALL1/NRARP/COL4A1/WNT5B/TPM1/TNC/MDK",26
"GO:0061333","renal tubule morphogenesis","10/348","45/13064",0.222222222222222,8.34227330779055,8.16175991993751,2.20019721762622e-07,0.000113398164596455,0.000113398164596455,"KIF26B/CITED1/HS3ST3B1/FOXD1/HOXD11/GREM1/WNT11/HS3ST3A1/SALL1/COL4A1",10
"GO:0006813","potassium ion transport","16/348","127/13064",0.125984251968504,4.72947778079464,6.98664893317365,2.54127749963366e-07,0.000119070402119199,0.000119070402119199,"KCNH1/NALCN/KCNH5/KCNAB2/KCNN2/KCNQ5/KCNMB4/CAV1/HCN2/KCNJ6/DRD1/SLC1A3/ANK2/KCNQ2/FHL1/KCNMA1",16
"GO:0001763","morphogenesis of a branching structure","12/348","70/13064",0.171428571428571,6.43546798029557,7.54310852829303,2.80222171197336e-07,0.000120355422529256,0.000120355422529256,"SLIT2/CITED1/HS3ST3B1/FOXD1/HOXD11/GREM1/HS3ST3A1/COL13A1/SALL1/NRARP/COL4A1/MDK",12
"GO:0048514","blood vessel morphogenesis","32/348","447/13064",0.0715883668903803,2.68744375016071,6.0053848031028,3.62620959435257e-07,0.000143765263456101,0.000143765263456101,"THY1/MIR503/EFNB2/HDAC9/SLIT2/ADM2/TGFB2/PXDN/HAS2/COL18A1/ANPEP/JCAD/HAND2/PDGFB/ITGB3/HMGA2/HK2/ADAMTS9/THBS1/TMEM215/CAV1/TWIST1/APLN/GREM1/ITGB2/NRARP/COL4A1/PTPRB/FBN1/HPGD/PDE3B/MDK",32
"GO:0060675","ureteric bud morphogenesis","9/348","37/13064",0.243243243243243,9.1314072693383,8.19370256650674,3.92109311003168e-07,0.000144352242065023,0.000144352242065023,"KIF26B/CITED1/HS3ST3B1/FOXD1/HOXD11/GREM1/WNT11/HS3ST3A1/SALL1",9
"GO:0048754","branching morphogenesis of an epithelial tube","11/348","60/13064",0.183333333333333,6.8823754789272,7.55484768995343,4.3611150985984e-07,0.000149847914787841,0.000149847914787841,"SLIT2/CITED1/HS3ST3B1/FOXD1/HOXD11/GREM1/HS3ST3A1/SALL1/NRARP/COL4A1/MDK",11
