"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","20/634","36/6371",0.555555555555556,5.58271994391868,9.1658591383145,1.07688908738338e-11,1.88455590292091e-09,1.88455590292091e-09,"8644/54576/1646/412/54657/54659/54579/9420/54658/1645/54600/1109/54577/7364/54578/6820/7366/54575/5959/1577",20
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","20/634","36/6371",0.555555555555556,5.58271994391868,9.1658591383145,1.07688908738338e-11,1.88455590292091e-09,1.88455590292091e-09,"2948/54576/1646/4259/54657/54659/5743/54579/54658/54600/54577/2052/7364/54578/7366/54575/2941/6817/1577/2947",20
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","20/634","37/6371",0.540540540540541,5.43183562111007,8.98705493729285,2.1283494369207e-11,2.27663641282963e-09,2.27663641282963e-09,"2948/54576/4128/130/4259/54657/54659/54579/126/316/54658/54600/54577/7364/54578/7366/54575/2941/1577/2947",20
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","21/634","41/6371",0.51219512195122,5.14699546049088,8.85514248131722,2.60187018609101e-11,2.27663641282963e-09,2.27663641282963e-09,"54576/130/56603/54657/54659/54579/126/316/54658/157506/54600/29785/54577/220/7364/9227/54578/7366/54575/5959/1577",21
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","21/634","45/6371",0.466666666666667,4.68948475289169,8.25618285883598,2.48001471250136e-10,1.73601029875096e-08,1.73601029875095e-08,"2948/54576/130/4259/54657/54659/54579/126/54658/1645/54600/29785/54577/2052/7364/54578/7366/54575/2941/1577/2947",21
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","13/634","21/6371",0.619047619047619,6.22074508036653,7.96575954809365,7.99232545782466e-09,4.66218985039772e-07,4.66218985039772e-07,"54576/54657/54659/54579/217/55586/54658/54600/54577/7364/54578/7366/54575",13
"Organismal Systems","Digestive system","hsa04976","Bile secretion","20/634","57/6371",0.350877192982456,3.52592838563285,6.36763399472761,2.36052216243897e-07,1.18026108121948e-05,1.18026108121948e-05,"9971/54576/54657/54659/54579/3781/486/54658/54600/123264/5243/54577/9429/2052/7364/760/8671/54578/7366/54575",20
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","19/634","56/6371",0.339285714285714,3.40944682289319,6.02000153474926,8.60384556875565e-07,3.7641824363306e-05,3.7641824363306e-05,"1066/2948/54576/4259/54657/54659/54579/54658/978/54600/54577/7364/54578/1806/7366/54575/7498/2941/2947",19
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","15/634","42/6371",0.357142857142857,3.58889139251915,5.5955508800083,6.00936271875278e-06,0.000233697439062608,0.000233697439062608,"929/1438/928/1435/3575/933/7850/3690/3109/3672/3563/3108/3815/290/912",15
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","18/634","58/6371",0.310344827586207,3.11862286522354,5.38792668314916,7.10767046209492e-06,0.000248768466173322,0.000248768466173322,"169044/1286/10008/9056/486/8645/1299/50509/1305/1301/1282/1285/80781/23428/1289/81578/5646/6546",18
