"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0015986","proton motive force-driven ATP synthesis",74,-0.558554206579841,-2.66419610288663,5.95010874033841e-10,1.14341256293503e-07,1.14341256293503e-07,6616,"tags=74%, list=36%, signal=48%","4709/514/4536/55967/126328/84833/4719/4711/51079/10476/4509/30968/4723/4540/517/4705/4706/4720/93974/10632/4710/4698/6390/4713/9551/6389/4726/4715/374291/4700/4722/527/4729/4541/4695/518/9556/4714/498/4728/4718/509/4725/516/506/522/4702/4716/539/6391/6392/513/515/65990/134145",0.801215574617779
"GO:0051988","regulation of attachment of spindle microtubules to kinetochore",23,-0.674588240626158,-2.48625168826471,2.65719656255326e-05,0.00107878437909293,0.00107878437909293,3369,"tags=61%, list=18%, signal=50%","1894/324/9735/998/9212/983/891/332/4751/55143/29127/10615/90417/3619",0.575610261071129
"GO:0009124","nucleoside monophosphate biosynthetic process",39,-0.587894403610583,-2.4475339104345,2.60295082643062e-06,0.000180280359045548,0.000180280359045548,5491,"tags=74%, list=30%, signal=52%","271/3251/55312/353/7371/8833/1854/7372/1723/132/158/471/1635/83549/1633/7083/100/51727/3615/790/10606/5198/5631/5634/7298/6470/3614/272/122622",0.627256739718528
"GO:0051984","positive regulation of chromosome segregation",27,-0.616761114197331,-2.41555676850652,5.44858281807827e-05,0.00189223373170008,0.00189223373170008,1914,"tags=44%, list=10%, signal=40%","9212/10051/54892/221150/10592/983/64151/891/332/23397/55143/3619",0.557332238758646
"GO:0051552","flavone metabolic process",10,-0.875788004320102,-2.35096552161189,2.279564312531e-06,0.000169471589384632,0.000169471589384632,1786,"tags=90%, list=10%, signal=81%","54577/54658/54578/54579/54575/54576/54657/54659/54600",0.627256739718528
"GO:0008608","attachment of spindle microtubules to kinetochore",53,-0.535194245393492,-2.3413727384299,2.59931005867666e-06,0.000180280359045548,0.000180280359045548,4668,"tags=60%, list=25%, signal=45%","9184/25936/10403/55055/51115/11004/220134/1894/324/22919/9735/11243/998/151648/9212/79980/221150/348235/983/891/332/4751/55143/83540/29127/10615/57082/1062/90417/3619/57405/147841",0.627256739718528
"GO:0006855","xenobiotic transmembrane transport",15,-0.771664708916359,-2.33774458807259,1.4018319626142e-05,0.000667897625162881,0.000667897625162881,2562,"tags=73%, list=14%, signal=63%","51374/10257/5205/6573/10057/55754/10351/3177/21/55244/2030",0.593325476396405
"GO:0042168","heme metabolic process",44,-0.56530313432583,-2.30636906717053,3.65287298759038e-06,0.000244869915970448,0.000244869915970448,6851,"tags=80%, list=37%, signal=50%","1244/211/28982/213/644/402055/10599/1355/93974/4779/2938/51629/3263/28234/7389/2235/5498/3145/51522/3163/56898/2395/7390/81853/10058/113235/10857/54658/259/1371/210/23456/54657/55652/11309",0.627256739718528
"GO:0006099","tricarboxylic acid cycle",31,-0.598338962193413,-2.3004011005597,3.46643598462175e-05,0.00133226689675629,0.00133226689675629,4752,"tags=71%, list=26%, signal=53%","6390/6389/4191/5162/1431/8803/1737/5160/3417/2271/50/8802/4190/1738/6391/6392/23530/3418/8801/130752/55753/48",0.557332238758646
"GO:0009156","ribonucleoside monophosphate biosynthetic process",32,-0.598711256432077,-2.2953722187607,3.70796487270196e-05,0.00140344168750451,0.00140344168750451,6081,"tags=81%, list=33%, signal=54%","978/5471/271/3251/55312/353/7371/8833/7372/1723/132/158/471/83549/1633/100/51727/3615/790/10606/5198/5631/5634/3614/272/122622",0.557332238758646
"GO:0045839","negative regulation of mitotic nuclear division",60,-0.456273792314435,-2.24647552659976,2.54435426330689e-05,0.00104772873771173,0.00104772873771173,5090,"tags=53%, list=28%, signal=39%","83658/10459/655/9184/10403/55055/5885/220134/699/324/1111/9735/25906/55755/9212/991/11130/221150/9319/7272/891/4085/332/55143/83540/5347/57082/3619/1063/701/57405/147841",0.575610261071129
"GO:0010257","NADH dehydrogenase complex assembly",39,-0.534817839898691,-2.22656448338031,5.28330987027805e-05,0.00184595644861533,0.00184595644861533,6543,"tags=69%, list=36%, signal=45%","55572/4536/4719/51079/4540/4720/55101/91942/374291/4700/4722/90871/4541/617/54968/55863/28976/57226/51300/4728/55744/4718/4725/5018/80224/284184/29090",0.557332238758646
"GO:0032981","mitochondrial respiratory chain complex I assembly",39,-0.534817839898691,-2.22656448338031,5.28330987027805e-05,0.00184595644861533,0.00184595644861533,6543,"tags=69%, list=36%, signal=45%","55572/4536/4719/51079/4540/4720/55101/91942/374291/4700/4722/90871/4541/617/54968/55863/28976/57226/51300/4728/55744/4718/4725/5018/80224/284184/29090",0.557332238758646
"GO:0072376","protein activation cascade",22,-0.633268909804018,-2.20607911088931,0.000262197423947636,0.00604627259623248,0.00604627259623248,1057,"tags=41%, list=6%, signal=39%","2155/350/2192/2161/2244/2266/2243/2153/2165",0.49849310876659
"GO:0072378","blood coagulation, fibrin clot formation",19,-0.675319072630464,-2.19860644161091,0.000193862141943895,0.00488041593146968,0.00488041593146968,1057,"tags=47%, list=6%, signal=45%","2155/350/2192/2161/2244/2266/2243/2153/2165",0.518848077743792
