"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENSEMBL","ENTREZID","sig","dir","nlp","Mean_ZIKV","Mean_Ctrl","Label"
"ENSG00000140284",2118.22828884334,-4.39051758225798,0.174000189335585,1.58832517778119e-141,1.47537760958341e-138,"SLC27A2","ENSG00000140284","11001",TRUE,"Down",137.831096811706,191.068303563402,4045.38827412327,"SLC27A2"
"ENSG00000165376",2194.52573240585,-5.89279532283618,0.238582526799054,4.27274438858856e-136,3.24728573532731e-133,"CLDN2","ENSG00000165376","9075",TRUE,"Down",132.488479495231,72.0850112001317,4316.96645361156,"CLDN2"
"ENSG00000145920",14174.9599005726,-4.69594441088499,0.191811504873928,1.50451774684897e-133,1.00622146909259e-130,"CPLX2","ENSG00000145920","10814",TRUE,"Down",129.997306420653,1043.2729584182,27306.646842727,"CPLX2"
"ENSG00000165092",163511.831722229,-4.32023808189563,0.178649088694261,2.63582287584239e-130,1.63225772163277e-127,"ALDH1A1","ENSG00000165092","216",TRUE,"Down",126.787211268225,15447.7705770132,311575.892867444,"ALDH1A1"
"ENSG00000018236",5828.98094136684,-4.39300607441598,0.196280748000508,4.51550206479282e-112,1.75579522147293e-109,"CNTN1","ENSG00000018236","1272",TRUE,"Down",108.755526137274,524.358910982326,11133.6029717513,"CNTN1"
"ENSG00000006534",5373.2360503858,-3.68266444509377,0.167042506582006,8.9432797581089e-109,2.99063275111162e-106,"ALDH3B1","ENSG00000006534","221",TRUE,"Down",105.524236914939,770.201173721558,9976.27092705005,"ALDH3B1"
"ENSG00000143819",3524.8863327028,-3.29086271120663,0.149639309769991,3.51783426867753e-108,1.15329782298605e-105,"EPHX1","ENSG00000143819","2052",TRUE,"Down",104.938058527764,648.731803639812,6401.04086176578,"EPHX1"
"ENSG00000140538",6223.42452247625,-3.87829166463492,0.177147247986751,2.37297838044495e-107,7.48607519264898e-105,"NTRK3","ENSG00000140538","4916",TRUE,"Down",104.125745815,785.662341218565,11661.1867037339,"NTRK3"
"ENSG00000196139",18131.2115705593,-4.72802804559534,0.216827717915303,1.72263007525802e-106,5.14328122469894e-104,"AKR1C3","ENSG00000196139","8644",TRUE,"Down",103.288759728645,1301.82007577639,34960.6030653422,"AKR1C3"
"ENSG00000077942",1244.48843430869,-3.76446486095013,0.173664386719546,3.34562098657248e-105,9.4811496433037e-103,"FBLN1","ENSG00000077942","2192",TRUE,"Down",102.023138998794,168.958693779924,2320.01817483745,"FBLN1"
"ENSG00000187134",8231.81207615578,-4.90380317342321,0.227336130479211,2.41109601643659e-104,6.60877465488848e-102,"AKR1C1","ENSG00000187134","1645",TRUE,"Down",101.179879056392,525.27156914425,15938.3525831673,"AKR1C1"
"ENSG00000198074",33797.6003770592,-5.61258958487078,0.262926256553727,2.43613563855843e-102,6.26649044256877e-100,"AKR1B10","ENSG00000198074","57016",TRUE,"Down",99.2029756183649,1330.58786356112,66264.6128905573,"AKR1B10"
"ENSG00000104738",3816.99776479273,-3.5417811270473,0.168035942082791,1.25423697121963e-99,3.12997644161077e-97,"MCM4","ENSG00000104738","4173",TRUE,"Down",96.5044589312449,598.318046734798,7035.67748285066,"MCM4"
"ENSG00000019186",31868.3100643645,-4.59490526758259,0.218728907309222,4.39934087444575e-99,1.06604318001062e-96,"CYP24A1","ENSG00000019186","1591",TRUE,"Down",95.972225203883,2500.38667970249,61236.2334490265,"CYP24A1"
"ENSG00000108602",15403.738892777,-4.85714266149574,0.231598740328539,9.23545599878778e-99,2.17488484929199e-96,"ALDH3A1","ENSG00000108602","218",TRUE,"Down",95.6625637321075,1014.10890504564,29793.3688805085,"ALDH3A1"
"ENSG00000082781",8968.38232562085,-3.36191558379271,0.162652081682066,6.37345008560499e-96,1.33205106789144e-93,"ITGB5","ENSG00000082781","3693",TRUE,"Down",92.8754791249568,1576.73724843573,16360.027402806,"ITGB5"
"ENSG00000160211",23653.3401120986,-3.59360632326793,0.173953062352986,7.5374595691241e-96,1.55588054315747e-93,"G6PD","ENSG00000160211","2539",TRUE,"Down",92.8080237501735,3584.61537821098,43722.0648459862,"G6PD"
"ENSG00000110057",2210.09514821137,-3.68454487715452,0.180414172715069,9.83672867946519e-94,1.89046096000756e-91,"UNC93B1","ENSG00000110057","81622",TRUE,"Down",90.7234322868433,315.744912760607,4104.44538366214,"UNC93B1"
"ENSG00000091136",6461.89244047198,-3.44819254594322,0.17195267372496,1.68178689815736e-90,3.05646488447729e-88,"LAMB1","ENSG00000091136","3912",TRUE,"Down",87.5147805894261,1075.30688680507,11848.4779941389,"LAMB1"
"ENSG00000102181",2447.58245533307,-3.13500981960185,0.157901662600051,9.83362323192531e-89,1.73071768881885e-86,"CD99L2","ENSG00000102181","83692",TRUE,"Down",85.7617737675881,496.465909056864,4398.69900160929,"CD99L2"
"ENSG00000169903",1320.80732891735,-5.86017811020424,0.297546712149187,2.45646380502876e-87,4.02667400196872e-85,"TM4SF4","ENSG00000169903","7104",TRUE,"Down",84.3950535292893,43.6627286672661,2597.95192916744,"TM4SF4"
"ENSG00000105854",5262.6464945923,-2.89300700344555,0.147037683005042,4.3479404522325e-87,7.05801595741043e-85,"PON2","ENSG00000105854","5445",TRUE,"Down",84.1513173640821,1239.1948312992,9286.09815788541,"PON2"
"ENSG00000111602",2202.21900438979,-3.7349392278605,0.19132487407819,5.77905500282481e-86,9.20245710926008e-84,"TIMELESS","ENSG00000111602","8914",TRUE,"Down",83.0360961980329,304.655018976123,4099.78298980345,"TIMELESS"
"ENSG00000198431",27203.4375827881,-2.85584430171583,0.145771306349829,6.54685930240741e-86,1.03267441071936e-83,"TXNRD1","ENSG00000198431","7296",TRUE,"Down",82.9860365844985,6577.13201850245,47829.7431470738,"TXNRD1"
"ENSG00000164638",760.719837298893,-3.82646576307409,0.196886940432094,2.61108013943303e-85,4.04233888252966e-83,"SLC29A4","ENSG00000164638","222962",TRUE,"Down",82.3933672809634,99.4789781593827,1421.9606964384,"SLC29A4"
"ENSG00000141753",69898.2308059393,-3.63138322938862,0.189469272332075,6.24531746980739e-83,9.1597989557175e-81,"IGFBP4","ENSG00000141753","3487",TRUE,"Down",80.0381140583606,10307.3361101023,129489.125501776,"IGFBP4"
"ENSG00000058804",1141.15102746944,-3.28448070442113,0.171751766190652,1.8993083046056e-82,2.76142911765267e-80,"NDC1","ENSG00000058804","55706",TRUE,"Down",79.5588661000801,210.362317841266,2071.93973709762,"NDC1"
"ENSG00000154864",607.335924563376,-4.16982044937899,0.219787918788379,1.30238567042257e-81,1.81465736745545e-79,"PIEZO2","ENSG00000154864","63895",TRUE,"Down",78.7412053637246,63.6959873651655,1150.97586176159,"PIEZO2"
"ENSG00000151632",35799.6437186198,-5.35682886684456,0.282659857785283,2.57035261558859e-81,3.55175997790423e-79,"AKR1C2","ENSG00000151632","1646",TRUE,"Down",78.4495563908084,1671.15965374246,69928.1277834972,"AKR1C2"
"ENSG00000168077",1559.56430086804,-3.56985527163047,0.188936935137247,1.03503747622011e-80,1.38446612819202e-78,"SCARA3","ENSG00000168077","51435",TRUE,"Down",77.8587176650677,239.855711416759,2879.27289031933,"SCARA3"
"ENSG00000108984",411.719523805355,-5.16004799763583,0.272343771025424,1.06681663517747e-80,1.41564874128311e-78,"MAP2K6","ENSG00000108984","5608",TRUE,"Down",77.8490444928656,21.783741633698,801.655305977013,"MAP2K6"
"ENSG00000099219",1774.34871467651,-3.48950328613558,0.185452959249623,4.81495202123401e-80,6.14549601488799e-78,"ERMP1","ENSG00000099219","79956",TRUE,"Down",77.2114430586139,287.3867552775,3261.31067407553,"ERMP1"
"ENSG00000134824",7898.6069465112,-3.098149022085,0.165136620004442,1.68407654120822e-79,2.10132535589563e-77,"FADS2","ENSG00000134824","9415",TRUE,"Down",76.6775066989836,1637.29809165338,14159.915801369,"FADS2"
"ENSG00000074410",7187.76136202495,-3.73872036086829,0.200466543059325,1.20156449755281e-78,1.47721752934434e-76,"CA12","ENSG00000074410","771",TRUE,"Down",75.8305555474519,989.645800627379,13385.8769234225,"CA12"
"ENSG00000073111",1308.37538708084,-4.00053838803296,0.215511442560277,5.13443473983544e-78,6.13198206071775e-76,"MCM2","ENSG00000073111","4171",TRUE,"Down",75.2123991243563,151.945688792588,2464.80508536909,"MCM2"
"ENSG00000125257",1582.69165260021,-3.03852319451121,0.16515625630745,1.54072750552754e-76,1.78895582586254e-74,"ABCC4","ENSG00000125257","10257",TRUE,"Down",73.7474003832007,340.599455139943,2824.78385006047,"ABCC4"
"ENSG00000164120",1858.15589149771,-3.45067566743593,0.189081370472708,2.30282813998566e-75,2.54988652321591e-73,"HPGD","ENSG00000164120","3248",TRUE,"Down",72.5934791464044,307.424574038348,3408.88720895706,"HPGD"
"ENSG00000117984",1248.33229514544,-3.45028429040386,0.18957549954373,5.50192796097001e-75,6.05212075706701e-73,"CTSD","ENSG00000117984","1509",TRUE,"Down",72.2180924151491,206.72379701671,2289.94079327416,"CTSD"
