"GeneID","SYMBOL","ENSEMBL","ENTREZID","ZIKV_1","ZIKV_2","ZIKV_3","Control_1","Control_2","Control_3"
"ENSG00000000003","TSPAN6","ENSG00000000003","7105",437,690,350,1875,1877,2061
"ENSG00000000005","TNMD","ENSG00000000005","64102",2,2,4,0,0,0
"ENSG00000000419","DPM1","ENSG00000000419","8813",1675,3022,1345,1073,1153,1512
"ENSG00000000457","SCYL3","ENSG00000000457","57147",338,359,245,229,311,276
"ENSG00000000460","FIRRM","ENSG00000000460","55732",186,229,192,338,443,496
"ENSG00000000938","FGR","ENSG00000000938","2268",44,38,14,0,1,0
"ENSG00000000971","CFH","ENSG00000000971","3075",263,415,293,725,1446,2162
"ENSG00000001036","FUCA2","ENSG00000001036","2519",499,665,397,1339,1777,1623
"ENSG00000001084","GCLC","ENSG00000001084","2729",731,934,611,2993,4233,3864
"ENSG00000001167","NFYA","ENSG00000001167","4800",332,399,303,718,679,863
"ENSG00000001460","STPG1","ENSG00000001460","90529",277,371,217,251,186,261
"ENSG00000001461","NIPAL3","ENSG00000001461","57185",336,270,232,668,522,532
"ENSG00000001497","LAS1L","ENSG00000001497","81887",959,1134,864,2721,3898,3645
"ENSG00000001561","ENPP4","ENSG00000001561","22875",111,128,79,142,156,129
"ENSG00000001617","SEMA3F","ENSG00000001617","6405",164,160,138,1217,1452,1395
"ENSG00000001626","CFTR","ENSG00000001626","1080",1,13,3,19,17,19
"ENSG00000001629","ANKIB1","ENSG00000001629","54467",1165,1197,862,2651,2437,2470
"ENSG00000001630","CYP51A1","ENSG00000001630","1595",107,95,70,224,1052,289
"ENSG00000001631","KRIT1","ENSG00000001631","889",231,331,206,164,215,196
"ENSG00000002016","RAD52","ENSG00000002016","5893",641,650,570,356,553,492
"ENSG00000002330","BAD","ENSG00000002330","572",179,308,139,210,585,238
"ENSG00000002549","LAP3","ENSG00000002549","51056",475,825,399,1205,1601,1680
"ENSG00000002586","CD99","ENSG00000002586","4267",1363,2088,1083,4859,5896,4474
"ENSG00000002587","HS3ST1","ENSG00000002587","9957",32,59,36,47,44,58
"ENSG00000002726","AOC1","ENSG00000002726","26",4,2,3,0,0,0
"ENSG00000002745","WNT16","ENSG00000002745","51384",44,58,28,2,0,2
"ENSG00000002746","HECW1","ENSG00000002746","23072",107,101,58,322,355,306
"ENSG00000002822","MAD1L1","ENSG00000002822","8379",16,6,21,10,14,3
"ENSG00000002834","LASP1","ENSG00000002834","3927",3625,4244,3049,11805,14089,13055
"ENSG00000002919","SNX11","ENSG00000002919","29916",1020,1834,961,663,855,858
"ENSG00000002933","TMEM176A","ENSG00000002933","55365",1,2,0,0,1,1
"ENSG00000003056","M6PR","ENSG00000003056","4074",1990,2802,1885,2957,2702,3221
"ENSG00000003096","KLHL13","ENSG00000003096","90293",12,21,14,56,91,85
"ENSG00000003137","CYP26B1","ENSG00000003137","56603",296,412,378,1009,1393,1068
"ENSG00000003147","ICA1","ENSG00000003147","3382",37,91,37,78,72,94
"ENSG00000003249","DBNDD1","ENSG00000003249","79007",340,509,340,1975,1622,2116
"ENSG00000003393","ALS2","ENSG00000003393","57679",1048,1284,887,1030,1366,1176
"ENSG00000003400","CASP10","ENSG00000003400","843",1051,857,676,195,176,180
"ENSG00000003402","CFLAR","ENSG00000003402","8837",8172,8673,6270,3498,3450,2789
"ENSG00000003436","TFPI","ENSG00000003436","7035",1238,1694,1082,4212,2199,2763
"ENSG00000003509","NDUFAF7","ENSG00000003509","55471",526,830,471,754,1005,1014
"ENSG00000003756","RBM5","ENSG00000003756","10181",2369,2573,2063,1198,1346,1205
"ENSG00000003987","MTMR7","ENSG00000003987","9108",127,127,84,46,23,39
"ENSG00000003989","SLC7A2","ENSG00000003989","6542",697,867,654,207,488,507
"ENSG00000004059","ARF5","ENSG00000004059","381",654,1358,676,1915,2600,2313
"ENSG00000004139","SARM1","ENSG00000004139","23098",289,165,200,233,277,195
"ENSG00000004142","POLDIP2","ENSG00000004142","26073",2374,3607,2056,4340,5312,5502
"ENSG00000004399","PLXND1","ENSG00000004399","23129",679,538,538,5887,4105,3819
"ENSG00000004455","AK2","ENSG00000004455","204",2147,3338,1897,2703,4414,3899
"ENSG00000004468","CD38","ENSG00000004468","952",210,324,247,187,287,336
"ENSG00000004478","FKBP4","ENSG00000004478","2288",1429,2404,1341,4286,7922,6777
"ENSG00000004487","KDM1A","ENSG00000004487","23028",1135,1592,1068,3508,4227,3534
"ENSG00000004534","RBM6","ENSG00000004534","10180",1574,1603,1322,1415,1883,1624
"ENSG00000004660","CAMKK1","ENSG00000004660","84254",245,255,220,1300,1341,1038
"ENSG00000004700","RECQL","ENSG00000004700","5965",548,569,450,1133,1690,1589
"ENSG00000004766","VPS50","ENSG00000004766","55610",194,270,173,511,651,564
"ENSG00000004776","HSPB6","ENSG00000004776","126393",48,27,42,10,14,19
"ENSG00000004777","ARHGAP33","ENSG00000004777","115703",193,252,267,382,548,351
"ENSG00000004779","NDUFAB1","ENSG00000004779","4706",687,1431,658,997,1957,1688
"ENSG00000004799","PDK4","ENSG00000004799","5166",118,178,109,1468,2167,2725
"ENSG00000004809","SLC22A16","ENSG00000004809","85413",1,1,0,0,0,0
