"SYMBOL","Count"
"A1CF",2
"ABCB1",2
"ABCG2",2
"ACKR3",2
"ACOX2",2
"ADD3",2
"ADGRG1",2
"ADORA1",2
"ADSS1",2
"AFP",2
"AGR2",2
"AKR1C1",2
"AKR1C2",2
"AKR1C3",2
"ALDH2",2
"ANG",2
"ANK3",2
"ANKRD22",2
"ANKRD30A",2
"ANXA10",2
"ANXA13",2
"ANXA4",2
"AOX1",2
"APBB1IP",2
"APOH",2
"AQP3",2
"AQP7",2
"ARAP3",2
"ARFGEF3",2
"ARHGAP44",2
"ARRB1",2
"ARSD",2
"ARSI",2
"ARSL",2
"ATP8A1",2
"AXIN2",2
"B3GNT3",2
"B4GALT4",2
"BCAS1",2
"BDKRB2",2
"BMP5",2
"C10orf90",2
"C11orf86",2
"C1orf116",2
"C2orf72",2
"C3orf80",2
"CA12",2
"CA9",2
"CADM2",2
"CAMK2N1",2
"CAPG",2
"CAPN5",2
"CARD11",2
"CASK",2
"CBLN2",2
"CCDC68",2
"CCDC74B",2
"CCN5",2
"CD9",2
"CD99",2
"CDA",2
"CDH17",2
"CDH19",2
"CDR2L",2
"CDS1",2
"CEACAM6",2
"CES1",2
"CGREF1",2
"CIDEC",2
"CLDN2",2
"CLDN7",2
"CNTNAP3",2
"COBL",2
"COL4A3",2
"COL4A4",2
"COL9A3",2
"CORO2A",2
"CPLX2",2
"CPS1",2
"CRACR2A",2
"CRISPLD1",2
"CSDC2",2
"CST1",2
"CTPS2",2
"CYP26B1",2
"CYP4F11",2
"CYP4F12",2
"CYP4F3",2
"DAB2",2
"DCDC1",2
"DEGS2",2
"DIRAS3",2
"DMTN",2
"DOCK11",2
"DOK4",2
"DPEP1",2
"DPYSL5",2
"DSCAML1",2
"DUSP9",2
"ENTPD2",2
"EPB41L1",2
"EPCAM",2
"EPHA7",2
"EPHB6",2
"EPHX1",2
"EPS8L3",2
"ERBB3",2
"ERICH5",2
"ERLN",2
"ETV1",2
"F11R",2
"F13B",2
"F2",2
"F5",2
"FABP6",2
"FBLN2",2
"FBLN5",2
"FBXO2",2
"FFAR4",2
"FGA",2
"FGB",2
"FGFBP1",2
"FGFR4",2
"FGG",2
"FGL1",2
"FN1",2
"GAL3ST1",2
"GALNT1",2
"GALNT5",2
"GDPD5",2
"GLB1L2",2
"GLDC",2
"GLRX",2
"GMDS",2
"GPR20",2
"GPRIN3",2
"GPX2",2
"GSDME",2
"GSTA4",2
"GSTM3",2
"GSTM4",2
"GTPBP6",2
"GYG2",2
"HGD",2
"HHIPL2",2
"HLA-DMB",2
"HMGCLL1",2
"HNMT",2
"HOOK1",2
"HR",2
"HRH2",2
"IGFBP1",2
"IGFBP2",2
"IGSF10",2
"IGSF11",2
"IL18",2
