"SYMBOL","Count"
"CCL5",3
"IFI44L",3
"ADAMTS14",2
"ADM2",2
"ANKRD1",2
"ANKRD33B",2
"APOL1",2
"APOL6",2
"ARHGAP31",2
"ARL17A",2
"ASNS",2
"ATP6V0E2-AS1",2
"BATF2",2
"BST2",2
"C4orf36",2
"CASS4",2
"CCDC180",2
"CD70",2
"CD83",2
"CELF2",2
"CGAS",2
"CIART",2
"CKMT2",2
"CMPK2",2
"COL13A1",2
"COLGALT2",2
"COXFA4L2",2
"COXFA4L3",2
"CPEB2",2
"CRTAC1",2
"CSF1",2
"CSTF3-DT",2
"DDN",2
"DDX60",2
"DMKN",2
"DNMBP-AS1",2
"DPY19L2",2
"DTX3L",2
"DUSP10",2
"EFNB2",2
"ENOX1",2
"EXPH5",2
"FAM43A",2
"FCMR",2
"FHIP1A",2
"FJX1",2
"FOSL1",2
"FOXD1",2
"FOXG1",2
"FRG1-DT",2
"FST",2
"GABBR2",2
"GBP1",2
"GBP4",2
"GLCCI1",2
"GOLGA6L4",2
"HAND2",2
"HDAC9",2
"HELZ2",2
"HERC5",2
"HERC6",2
"HES7",2
"HIVEP3",2
"HK2",2
"HLA-F",2
"HOXD11",2
"HRK",2
"HS3ST3B1",2
"ICAM5",2
"IFI16",2
"IFI27",2
"IFI44",2
"IFI6",2
"IFIH1",2
"IFIT1",2
"IFIT2",2
"IFIT3",2
"IFIT5",2
"IFITM1",2
"IFNL1",2
"IFNL2",2
"IFNL3",2
"IGF2BP2",2
"IGFL2",2
"IL7R",2
"IRF7",2
"IRF9",2
"ISG15",2
"JPH2",2
"KIF26B",2
"LAMB4",2
"LAMC2",2
"LAMP3",2
"LHFPL6",2
"LINC01121",2
"LINC01239",2
"LINC01776",2
"LINC02709",2
"LINC02863",2
"LINC03025",2
"LOC107984273",2
"LRATD1",2
"LY6K",2
"LYPD1",2
"MAFB",2
"MAP3K7CL",2
"MEG3",2
"MFSD2B",2
"MIOX",2
"MIR137HG",2
"MIR181A2HG",2
"MX1",2
"MX2",2
"NFE2L3",2
"NGF",2
"NLRC5",2
"NR2F1",2
"NR2F1-AS1",2
"NR6A1",2
"NRARP",2
"NSG1",2
"OAS2",2
"OAS3",2
"OASL",2
"PAK3",2
"PAPPA2",2
"PARP10",2
"PARP14",2
"PARP9",2
"PATL2",2
"PCDH7",2
"PDLIM3",2
"PLA1A",2
"PLEKHA4",2
"PLSCR2",2
"PML",2
"PPM1K",2
"PRDM6",2
"PRDM6-AS1",2
"PRICKLE1",2
"PSMB8-AS1",2
"RAB39B",2
"RABL2B",2
"RASD1",2
"RASGRP3",2
"RBMS3",2
"RET",2
"RIGI",2
"RNU6-1",2
"RPS6KL1",2
"RRAD",2
"RSAD2",2
"RUNX2",2
"SALL1",2
"SAMD9",2
"SAMD9L",2
"SAMHD1",2
"SDK1",2
"SDR42E1",2
"SHISAL1",2
"SLC16A6",2
"SLC1A3",2
"SLC6A3",2
"SLIT2",2
"SMN1",2
"SMTNL1",2
"SNAI2",2
"SOCS2",2
"STC2",2
"SUSD4",2
"TAP1",2
"TDRD7",2
"TENM4",2
"TGIF2",2
"THEMIS2",2
"TLDC2",2
"TMEM158",2
"TNFRSF9",2
"TNFSF9",2
"TRANK1",2
"TRAPPC2",2
"TRIM14",2
"TRIM21",2
"TRIM22",2
"TRIML2",2
"TULP2",2
"TWIST1",2
"UBA7",2
"USP18",2
"VDR",2
"VWCE",2
"VXN",2
"XAF1",2
"ZNF44",2
"ZNF462",2
"ZNF544",2
"ZNF738",2
"ZNFX1",2
