"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","34/63","305/18842",0.111475409836066,33.3399947957325,32.9804182472213,9.952510456333e-45,5.8520761483238e-41,5.8520761483238e-41,"HERC5/TRIM21/IFI44L/DTX3L/DDX60/IFIH1/USP18/IRF9/RIGI/ISG15/ZNFX1/OASL/IFI16/NLRC5/IFITM1/IFIT1/BST2/OAS3/PARP9/IFIT3/GBP1/IFIT2/IFIT5/RSAD2/IFI6/OAS2/IRF7/MX2/IFNL2/TRIM22/MX1/IFI27/SAMHD1/PML",34
"GO:0009615","response to virus","36/63","400/18842",0.09,26.9171428571429,30.3458375056026,3.51233020071337e-44,1.03262507900973e-40,1.03262507900973e-40,"HERC5/TRIM21/IFI44/IFI44L/DTX3L/DDX60/IFIH1/USP18/IRF9/RIGI/ISG15/ZNFX1/OASL/IFI16/NLRC5/IFITM1/IFIT1/BST2/OAS3/PARP9/IFIT3/GBP1/IFIT2/IFIT5/RSAD2/IFI6/OAS2/IRF7/MX2/IFNL2/TRIM22/MX1/IFI27/SAMHD1/CCL5/PML",36
"GO:0048525","negative regulation of viral process","16/63","74/18842",0.216216216216216,64.6658086658087,31.7833112389104,1.79364341333452e-25,3.51554109013567e-22,3.51554109013567e-22,"TRIM21/IFIH1/ISG15/TRIM14/ZNFX1/OASL/IFI16/IFITM1/IFIT1/BST2/OAS3/IFIT5/RSAD2/OAS2/MX1/CCL5",16
"GO:0045071","negative regulation of viral genome replication","14/63","48/18842",0.291666666666667,87.2314814814815,34.6467796045331,2.04575880604405e-24,3.00726544488475e-21,3.00726544488475e-21,"IFIH1/ISG15/ZNFX1/OASL/IFI16/IFITM1/IFIT1/BST2/OAS3/IFIT5/RSAD2/OAS2/MX1/CCL5",14
"GO:0050792","regulation of viral process","17/63","136/18842",0.125,37.3849206349206,24.6653021346388,1.06909865630319e-22,1.25726001981256e-19,1.25726001981256e-19,"TRIM21/IFIH1/ISG15/TRIM14/ZNFX1/OASL/IFI16/IFITM1/IFIT1/BST2/OAS3/IFIT5/LAMP3/RSAD2/OAS2/MX1/CCL5",17
"GO:1903900","regulation of viral life cycle","16/63","110/18842",0.145454545454545,43.5024531024531,25.8943064485267,1.71002532938374e-22,1.67582482279607e-19,1.67582482279607e-19,"TRIM21/IFIH1/ISG15/ZNFX1/OASL/IFI16/IFITM1/IFIT1/BST2/OAS3/IFIT5/LAMP3/RSAD2/OAS2/MX1/CCL5",16
"GO:0045069","regulation of viral genome replication","14/63","77/18842",0.181818181818182,54.3780663780664,27.184411407078,3.31972937052677e-21,2.78857267124249e-18,2.78857267124249e-18,"IFIH1/ISG15/ZNFX1/OASL/IFI16/IFITM1/IFIT1/BST2/OAS3/IFIT5/RSAD2/OAS2/MX1/CCL5",14
"GO:0016032","viral process","20/63","383/18842",0.0522193211488251,15.6177214140661,16.7402138414644,5.37444665810068e-19,3.950218293704e-16,3.950218293704e-16,"TRIM21/IFIH1/PARP10/ISG15/TRIM14/ZNFX1/OASL/IFI16/IFITM1/IFIT1/BST2/OAS3/PARP9/IFIT5/LAMP3/RSAD2/OAS2/IRF7/MX1/CCL5",20
"GO:0019079","viral genome replication","14/63","110/18842",0.127272727272727,38.0646464646465,22.5813628133022,6.69898802791613e-19,4.37667217823854e-16,4.37667217823854e-16,"IFIH1/ISG15/ZNFX1/OASL/IFI16/IFITM1/IFIT1/BST2/OAS3/IFIT5/RSAD2/OAS2/MX1/CCL5",14
"GO:0140374","antiviral innate immune response","12/63","73/18842",0.164383561643836,49.163731245923,23.8806974133666,1.01084052274764e-17,5.94374227375612e-15,5.94374227375612e-15,"TRIM21/IFIH1/USP18/RIGI/OASL/IFIT1/OAS3/IFIT3/IFIT2/IFIT5/OAS2/MX1",12
