"Dataset","Sample","Title","Source","Characteristics"
"GSE146423","GSM4385296","A549 Control 1","A549","cell line: A549"
"GSE146423","GSM4385297","A549 Control 2","A549","cell line: A549"
"GSE146423","GSM4385298","A549 Control 3","A549","cell line: A549"
"GSE146423","GSM4385299","A549 infected with Zika virus 1","A549","cell line: A549"
"GSE146423","GSM4385300","A549 infected with Zika virus 2","A549","cell line: A549"
"GSE146423","GSM4385301","A549 infected with Zika virus 3","A549","cell line: A549"
"GSE233049","GSM7400932","Wild-type A549 cells with mock virus infection, biological replicate 1","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400933","Wild-type A549 cells with mock virus infection, biological replicate 2","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400934","Wild-type A549 cells with mock virus infection, biological replicate 3","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400935","ATF3 knockout A549 cells with mock virus infection, biological replicate 1","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400936","ATF3 knockout A549 cells with mock virus infection, biological replicate 2","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400937","ATF3 knockout A549 cells with mock virus infection, biological replicate 3","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400938","Wild-type A549 cells with ZIKV virus infection, biological replicate 1","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400939","Wild-type A549 cells with ZIKV virus infection, biological replicate 2","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400940","Wild-type A549 cells with ZIKV virus infection, biological replicate 3","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400941","ATF3 knockout A549 cells with ZIKV virus infection, biological replicate 1","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400942","ATF3 knockout A549 cells with ZIKV virus infection, biological replicate 2","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE233049","GSM7400943","ATF3 knockout A549 cells with ZIKV virus infection, biological replicate 3","lung epithelial adenocarcinoma","tissue: lung epithelial adenocarcinoma"
"GSE265922","GSM8231986","A549 cells, ZIKV infected, rep 1","A549 (ATCC CCL-185)","cell line: A549 (ATCC CCL-185)"
"GSE265922","GSM8231987","A549 cells, ZIKV infected, rep 2","A549 (ATCC CCL-185)","cell line: A549 (ATCC CCL-185)"
"GSE265922","GSM8231988","A549 cells, ZIKV infected, rep 3","A549 (ATCC CCL-185)","cell line: A549 (ATCC CCL-185)"
"GSE265922","GSM8231989","A549 cells, Mock, rep 1","A549 (ATCC CCL-185)","cell line: A549 (ATCC CCL-185)"
"GSE265922","GSM8231990","A549 cells, Mock, rep 2","A549 (ATCC CCL-185)","cell line: A549 (ATCC CCL-185)"
"GSE265922","GSM8231991","A549 cells, Mock, rep 6","A549 (ATCC CCL-185)","cell line: A549 (ATCC CCL-185)"
