"STRING_id","Degree","gene"
"9606.ENSP00000263642",88,"IFIH1"
"9606.ENSP00000380697",88,"IRF7"
"9606.ENSP00000360869",86,"IFIT1"
"9606.ENSP00000369213",86,"RIGI"
"9606.ENSP00000371471",86,"RSAD2"
"9606.ENSP00000368699",84,"ISG15"
"9606.ENSP00000381601",84,"MX1"
"9606.ENSP00000257570",82,"OASL"
"9606.ENSP00000360883",82,"IFIT3"
"9606.ENSP00000333657",80,"MX2"
"9606.ENSP00000342278",80,"OAS2"
"9606.ENSP00000215794",78,"USP18"
"9606.ENSP00000228928",74,"OAS3"
"9606.ENSP00000353512",74,"PARP9"
"9606.ENSP00000360860",74,"IFIT5"
"9606.ENSP00000360891",74,"IFIT2"
"9606.ENSP00000377344",74,"DDX60"
"9606.ENSP00000380073",74,"IRF9"
"9606.ENSP00000359504",72,"GBP1"
"9606.ENSP00000359783",72,"IFI44"
"9606.ENSP00000264350",70,"HERC5"
"9606.ENSP00000354822",70,"XAF1"
"9606.ENSP00000359787",70,"IFI44L"
"9606.ENSP00000342513",68,"IFI6"
"9606.ENSP00000264346",66,"HERC6"
"9606.ENSP00000326247",66,"SAMD9L"
"9606.ENSP00000483430",66,"IFI27"
"9606.ENSP00000252593",64,"BST2"
"9606.ENSP00000369299",64,"TRIM22"
"9606.ENSP00000386187",62,"IFITM1"
"9606.ENSP00000256722",60,"CMPK2"
"9606.ENSP00000418194",60,"PARP14"
"9606.ENSP00000357113",58,"IFI16"
"9606.ENSP00000369292",58,"SAMD9"
"9606.ENSP00000262878",50,"SAMHD1"
"9606.ENSP00000254436",48,"TRIM21"
"9606.ENSP00000333266",46,"UBA7"
"9606.ENSP00000259951",40,"HLA-F"
"9606.ENSP00000359490",38,"GBP4"
"9606.ENSP00000417401",38,"HELZ2"
"9606.ENSP00000379412",28,"ZNFX1"
"9606.ENSP00000474412",28,"CCL5"
"9606.ENSP00000296161",26,"DTX3L"
"9606.ENSP00000333639",16,"IFNL2"
"9606.ENSP00000262510",12,"NLRC5"
"9606.ENSP00000268058",10,"PML"
"9606.ENSP00000325618",10,"PARP10"
"9606.ENSP00000344208",6,"TRIM14"
"9606.ENSP00000346206",6,"TAP1"
"9606.ENSP00000347444",4,"TDRD7"
"9606.ENSP00000416168",4,"TRANK1"
"9606.ENSP00000301887",2,"BATF2"
"9606.ENSP00000384192",2,"RASGRP3"
