"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"RELA 24523406 ChIP-Seq FIBROSARCOMA Human","2/1182",0.00348997622942908,0.202418621306887,0,0,37636,212939.232277229,"CCL5;IFI44L"
"NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human","1/599",0.0590042048544278,0.207929066245723,0,0,32.4414715719064,91.8141194591938,"CCL5"
"NACC1 18358816 ChIP-ChIP MESCs Mouse","1/769",0.0754231770896447,0.207929066245723,0,0,25.0390625,64.7169790945273,"CCL5"
"IRF8 22096565 ChIP-ChIP GC-B Mouse","1/772",0.0757116261413712,0.207929066245723,0,0,24.9377431906615,64.3599148739758,"CCL5"
"DNAJC2 21179169 ChIP-ChIP NT2 Human","1/899",0.0878813602582115,0.207929066245723,0,0,21.2694877505568,51.7224501807069,"CCL5"
"MYB 21317192 ChIP-Seq ERMYB Mouse","1/923",0.0901720923282203,0.207929066245723,0,0,20.6898047722343,49.7804005799342,"CCL5"
"AUTS2 25519132 ChIP-Seq 293T-REX Human","1/1000",0.0975020813552424,0.207929066245723,0,0,19.018018018018,44.2716933372689,"CCL5"
"BACH1 22875853 ChIP-PCR HELA AND SCP4 Human","1/1352",0.130633070616327,0.207929066245723,0,0,13.8023686158401,28.0928286477196,"CCL5"
"GATA2 20887958 ChIP-Seq HPC-7 Mouse","1/1708",0.163510404621251,0.207929066245723,0,0,10.7152899824253,19.4040898989047,"CCL5"
"LMO2 20887958 ChIP-Seq HPC-7 Mouse","1/1741",0.166525928829487,0.207929066245723,0,0,10.4931034482759,18.8099818683433,"CCL5"
"SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human","1/1784",0.170447077925888,0.207929066245723,0,0,10.2159282108805,18.0753525912468,"CCL5"
"NANOG 20526341 ChIP-Seq ESCs Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"IRF8 27001747 Chip-Seq BMDM Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"PHF8 20622853 ChIP-Seq HELA Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"GATA3 27048872 Chip-Seq THYMUS Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"E2F1 20622854 ChIP-Seq HELA Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"RACK7 27058665 Chip-Seq MCF-7 Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"P300 27058665 Chip-Seq ZR-75-30cells Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"SMC4 20622854 ChIP-Seq HELA Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"BRD4 27068464 Chip-Seq AML-cells Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"ETV1 20927104 ChIP-Seq GIST48 Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"EBNA1 20929547 Chip-Seq RAJI-cells Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"P68 20966046 ChIP-Seq HELA Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"CDX2 21074721 ChIP-Seq CACO-2 Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"GATA6 21074721 ChIP-Seq CACO-2 Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"GATA6 21074721 ChIP-Seq CACO-2 Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"HNFA 21074721 ChIP-Seq CACO-2 Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"P300 27268052 Chip-Seq Bcells Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"BCOR 27268052 Chip-Seq Bcells Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"FOXA1 27270436 Chip-Seq PROSTATE Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"PBX 27287812 Chip-Seq EMBYONIC-LIMB Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"FOXA1 21572438 ChIP-Seq LNCaP Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"RBPJ 21746931 ChIP-Seq IB4 Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"NFYA 21822215 ChIP-Seq K562 Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"NFYB 21822215 ChIP-Seq K562 Human","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"IFI44L"
"GATA3 21867929 ChIP-Seq CD8 Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"GATA3 21867929 ChIP-Seq TH1 Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"FLI1 21867929 ChIP-Seq CD8 Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
"ETS1 21867929 ChIP-Seq TH2 Mouse","1/2000",0.190004146741781,0.207929066245723,0,0,9.0040020010005,14.9530305995363,"CCL5"
