"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"JUND mouse","1/7",0.000699877371224814,0.00643554641264173,0,0,3332,24205.6652668768,"CCL5"
"IRF7 human","1/12",0.00119964407705501,0.00643554641264173,0,0,1817,12220.6520798144,"CCL5"
"IRF3 human","1/15",0.00149944469556524,0.00643554641264173,0,0,1427.42857142857,9282.08330574088,"CCL5"
"ATF3 human","1/16",0.00159936830810678,0.00643554641264173,0,0,1332.2,8576.89881409571,"CCL5"
"NFKBIA human","1/19",0.00189910932917025,0.00643554641264173,0,0,1110,6955.67100729196,"CCL5"
"REL human","1/22",0.00219880558503309,0.00643554641264173,0,0,951.285714285714,5821.71729982369,"CCL5"
"IRF8 mouse","1/23",0.00229869438241537,0.00643554641264173,0,0,908,5516.47589115802,"CCL5"
"IRF1 mouse","1/25",0.00249845703747008,0.00643554641264173,0,0,832.25,4986.91018013131,"CCL5"
"REL mouse","1/28",0.00279806365767032,0.00643554641264173,0,0,739.666666666667,4348.3728531625,"CCL5"
"HDAC1 mouse","1/28",0.00279806365767032,0.00643554641264173,0,0,739.666666666667,4348.3728531625,"CCL5"
"JUND human","1/34",0.0033971423187621,0.00710311575741166,0,0,605,3439.31652062945,"CCL5"
"SPI1 mouse","1/40",0.00399604144072308,0.00765907942805256,0,0,511.769230769231,2826.22052464128,"CCL5"
"IRF1 human","1/51",0.00509355659349577,0.00901167705003098,0,0,398.96,2106.42061031929,"CCL5"
"FOS mouse","1/56",0.00559222743938083,0.00918723079326851,0,0,362.6,1880.58051870251,"CCL5"
"SPI1 human","1/62",0.00619046767551296,0.00949205043578654,0,0,326.83606557377,1661.87793315524,"CCL5"
"CREB1 human","1/90",0.0089798778998866,0.012908574481087,0,0,223.696629213483,1054.23053814246,"CCL5"
"RELA mouse","1/121",0.012063584303527,0.0163213199400659,0,0,165.65,731.769464326843,"CCL5"
"JUN mouse","1/131",0.0130573038332556,0.0166843326758266,0,0,152.830769230769,663.042173964305,"CCL5"
"JUN human","1/149",0.014844739492982,0.017969947807294,0,0,134.121621621622,564.666742769417,"CCL5"
"NFKB1 mouse","1/200",0.0199003457594268,0.0228853976233408,0,0,99.4924623115578,389.713782906821,"CCL5"
"RELA human","1/301",0.0298740561189849,0.0314379058709574,0,0,65.66,230.516820942215,"CCL5"
"NFKB1 human","1/303",0.0300710403983071,0.0314379058709574,0,0,65.2185430463576,228.538341362978,"CCL5"
"SP1 human","1/472",0.0466439692200186,0.0466439692200186,0,0,41.4585987261147,127.079379277948,"CCL5"
