"SYMBOL","log2FoldChange","padj","Direction","Dataset"
"IFIT2",4.27586949187934,0,"Up","GSE146423"
"IFIT3",3.83589183341339,0,"Up","GSE146423"
"HELZ2",3.39408794904076,0,"Up","GSE146423"
"DDX60",3.14957435766619,0,"Up","GSE146423"
"RIGI",3.03370546721402,0,"Up","GSE146423"
"ARC",-1.87905618999481,8.86453316234832e-05,"Down","GSE146423"
"INSYN2B",-1.15078177364189,0.00011206662944896,"Down","GSE146423"
"LOC105369559",-1.10696037066669,0.000118749239292673,"Down","GSE146423"
"SBSN",-1.64239347784008,0.000233762143169532,"Down","GSE146423"
"ALOXE3",-1.60510945797032,0.00167145120688651,"Down","GSE146423"
"CDH11",5.36806221123832,0,"Up","GSE233049"
"GFRA1",2.62823886283183,0,"Up","GSE233049"
"DIO2",2.5737169787278,0,"Up","GSE233049"
"PAK3",3.32530609580108,3.12827544977302e-319,"Up","GSE233049"
"OLFML3",4.62132529918104,3.68481974794842e-296,"Up","GSE233049"
"SLC7A7",-4.47161501557996,0,"Down","GSE233049"
"PDK4",-3.52617930307086,0,"Down","GSE233049"
"VTN",-3.44379274953122,0,"Down","GSE233049"
"MYO15B",-3.4183040909402,0,"Down","GSE233049"
"CAMK2N1",-2.80980072149675,0,"Down","GSE233049"
"IFIT3",7.14379329394077,5.86550010365049e-210,"Up","GSE265922"
"DHX58",7.07775186519057,3.02959172165402e-206,"Up","GSE265922"
"PTGER4",5.78185028817896,3.51211928024718e-201,"Up","GSE265922"
"PMAIP1",5.13078299445871,3.65968302810494e-195,"Up","GSE265922"
"IFIT1",7.07354557063963,2.05339052018911e-183,"Up","GSE265922"
"SLC27A2",-4.39051758225798,1.47537760958341e-138,"Down","GSE265922"
"CLDN2",-5.89279532283618,3.24728573532731e-133,"Down","GSE265922"
"CPLX2",-4.69594441088499,1.00622146909259e-130,"Down","GSE265922"
"ALDH1A1",-4.32023808189563,1.63225772163277e-127,"Down","GSE265922"
"CNTN1",-4.39300607441598,1.75579522147293e-109,"Down","GSE265922"
