Source	Target	Combined_Score	Interaction
BST2	DDX58	0.795	pp
BST2	IFI44	0.708	pp
BST2	IFI6	0.744	pp
BST2	IFIT1	0.709	pp
BST2	IFIT3	0.717	pp
BST2	IFITM1	0.81	pp
BST2	IRF7	0.761	pp
BST2	IRF9	0.815	pp
BST2	ISG15	0.845	pp
BST2	MX1	0.804	pp
BST2	MX2	0.801	pp
BST2	OAS2	0.777	pp
BST2	RSAD2	0.754	pp
BST2	SAMHD1	0.896	pp
CCL5	DDX58	0.772	pp
CCL5	IFIH1	0.765	pp
CCL5	IFIT1	0.748	pp
CCL5	IFIT2	0.708	pp
CCL5	IRF7	0.786	pp
CCL5	ISG15	0.768	pp
CMPK2	DDX58	0.712	pp
CMPK2	DDX60	0.889	pp
CMPK2	IFI44	0.79	pp
CMPK2	IFI44L	0.855	pp
CMPK2	IFI6	0.733	pp
CMPK2	IFIH1	0.808	pp
CMPK2	IFIT1	0.83	pp
CMPK2	IFIT2	0.736	pp
CMPK2	IFIT3	0.904	pp
CMPK2	IFIT5	0.795	pp
CMPK2	IRF7	0.808	pp
CMPK2	ISG15	0.746	pp
CMPK2	MX1	0.811	pp
CMPK2	MX2	0.758	pp
CMPK2	OAS2	0.794	pp
CMPK2	OAS3	0.724	pp
CMPK2	OASL	0.722	pp
CMPK2	PARP9	0.769	pp
CMPK2	RSAD2	0.976	pp
CMPK2	USP18	0.883	pp
DDX58	DDX60	0.992	pp
DDX58	GBP1	0.716	pp
DDX58	HERC5	0.96	pp
DDX58	HERC6	0.868	pp
DDX58	IFI16	0.787	pp
DDX58	IFI44	0.913	pp
DDX58	IFI44L	0.866	pp
DDX58	IFI6	0.747	pp
DDX58	IFIH1	0.96	pp
DDX58	IFIT1	0.995	pp
DDX58	IFIT2	0.982	pp
DDX58	IFIT3	0.966	pp
DDX58	IFIT5	0.95	pp
DDX58	IRF7	0.99	pp
DDX58	IRF9	0.866	pp
DDX58	ISG15	0.999	pp
DDX58	MX1	0.971	pp
DDX58	MX2	0.965	pp
DDX58	OAS2	0.949	pp
DDX58	OAS3	0.943	pp
DDX58	OASL	0.999	pp
DDX58	PARP14	0.749	pp
DDX58	PARP9	0.83	pp
DDX58	RSAD2	0.953	pp
DDX58	SAMD9	0.882	pp
DDX58	SAMD9L	0.82	pp
DDX58	TRIM22	0.718	pp
DDX58	UBA7	0.758	pp
DDX58	USP18	0.94	pp
DDX58	NLRC5	0.995	pp
DDX58	TRIM21	0.771	pp
DDX58	XAF1	0.846	pp
DDX60	HERC5	0.874	pp
DDX60	HERC6	0.902	pp
DDX60	IFI44	0.919	pp
DDX60	IFI44L	0.899	pp
DDX60	IFI6	0.821	pp
DDX60	IFIH1	0.987	pp
DDX60	IFIT1	0.944	pp
DDX60	IFIT2	0.899	pp
