Gene	Direction	Degree	Betweenness	Closeness	Eigenvector	MCC	Module	Hub_Rank
ISG15	Up	36	0.0556	0.8333	0.9966	91065150645235970	2	1
DDX58	NA	35	0.0725	0.8182	0.9505	89639785144991600	2	2
IFIT2	Up	35	0.0426	0.8036	0.9848	91065150681161780	3	2
IFIT3	Up	35	0.0395	0.8182	1	91065152122156820	3	2
IFI44	Up	34	0.0283	0.8036	0.9869	91065150685152720	3	5
IFIH1	Up	34	0.0499	0.7895	0.962	91065149723118290	2	5
IFI44L	Up	33	0.0316	0.7895	0.9657	91065149727148820	3	7
OAS2	Up	33	0.0195	0.7895	0.9858	91065152122116480	1	7
RSAD2	Up	32	0.0139	0.7627	0.9716	91065152118124800	1	9
IFIT1	Up	31	0.0131	0.7377	0.9446	91065150162202320	1	10
IRF7	Up	31	0.0231	0.7377	0.9111	51939520617601490	1	10
MX1	Up	31	0.0249	0.75	0.9361	91065137712151680	1	10
XAF1	Up	29	0.0145	0.7377	0.8859	39842237058220800	3	13
IRF9	Up	28	0.0533	0.7143	0.8391	26324795576218320	1	14
IFI6	Up	27	0.0038	0.6818	0.8695	9105859933632e4	1	15
OAS3	Up	27	0.004	0.6923	0.8791	91062520922419200	1	15
MX2	Up	26	0.0069	0.6818	0.8282	57622672942289280	1	17
OASL	Up	26	0.0029	0.6818	0.8572	9105990461568e4	1	17
DDX60	Up	25	0.0053	0.6618	0.8028	32014497293049600	3	19
USP18	Up	25	0.0071	0.6618	0.8181	91055981592576030	1	19
PARP9	Up	24	0.0173	0.6818	0.709	5238884085132	3	21
HERC5	Up	23	0.0056	0.6338	0.7616	51930364502016024	1	22
HERC6	Up	23	0.0014	0.6429	0.7729	39125623317580800	1	22
IFIT5	Up	22	5e-4	0.6338	0.7545	51218989645824e3	1	24
IFI27	Up	21	0.0012	0.625	0.7037	1424057865753600	1	25
CMPK2	Up	20	3e-4	0.6081	0.6932	12806055085824e3	1	26
GBP1	Up	19	0.0471	0.6164	0.5951	2615827737607	3	27
IFITM1	Up	18	8e-4	0.6	0.5998	2617264742400	1	28
PARP14	Up	17	0.0553	0.6	0.4685	518958733	3	29
SAMD9	Up	15	3e-4	0.5696	0.5129	12933043200	3	30
SAMD9L	Up	15	0.0011	0.5844	0.4845	1476921600	3	30
BST2	Up	14	3e-4	0.5696	0.47	1437004800	1	32
SAMHD1	Up	14	2e-4	0.5625	0.4608	1437004800	1	32
TRIM22	Up	12	0.0445	0.5556	0.3851	3991681	3	34
HELZ2	Up	8	0	0.5233	0.2678	40320	3	35
IFI16	Up	7	9e-4	0.5172	0.2215	744	2	36
CCL5	Up	6	0	0.5056	0.22	720	2	37
TRIM21	Up	5	1e-4	0.4945	0.1547	48	2	38
DTX3L	Up	4	2e-4	0.4787	0.1178	12	3	39
GBP4	Up	4	3e-4	0.4945	0.1167	12	3	39
UBA7	Up	4	0	0.4891	0.135	24	2	39
HLA-F	Up	2	0.002	0.4327	0.033	2	4	42
NLRC5	Up	2	0	0.4688	0.0732	2	2	42
TAP1	Up	2	0.0013	0.3947	0.024	2	4	42
PARP10	Up	1	0	0.3782	0.0179	1	3	45
PML	Up	1	0	0.36	0.0147	1	3	45
